wordpairs,similarity
year vs. century,similar
radio vs. music,similar
gem vs. jewel,similar
flight vs. airport,similar
artifact vs. object,similar
minister vs. bishop,similar
collection vs. memorabilia,similar
drug vs. alcohol,similar
music vs. jazz,similar
science vs. scientist,similar
investigation vs. operation,similar
troops vs. personnel,similar
ministry vs. government,similar
gin vs. alcohol,similar
practice vs. law,similar
fertility vs. crane,dissimilar
number vs. equipment,dissimilar
round vs. Jerusalem,dissimilar
archive vs. bird,dissimilar
video vs. problem,dissimilar
governor vs. jazz,dissimilar
defeating vs. discipline,dissimilar
possession vs. popcorn,dissimilar
travel vs. soap,dissimilar
motto vs. Jackson,dissimilar
professor vs. currency,dissimilar
phone vs. artifact,dissimilar
size vs. environment,dissimilar
war vs. journal,dissimilar
fertility vs. hotel,dissimilar
