tournament_avenue,rabbi_minister,doctor_scientist,smile_psychology,egg_peace,Mars_health,season_astronomer,hardware_nation,flight_departure,basketball_championship,forecast_concert,street_challenge,consumer_withdrawal,insurance_automobile,mile_keyboard,deployment_infrastructure,hardware_infrastructure,loss_recovery,health_fertility,landscape_fauna,card_credit,food_water,software_accommodation,competition_championship,love_glass,live_book,basketball_game,stupid_furnace,moon_planet,psychiatry_price
0,0,4,3,0,0,5,0,9,9,0,0,0,9,0,0,5,7,5,9,9,7.5,0,9,0,5,9,0,8.9,0
5.1,8.2,8.6,5.7,0,0,5,1.6,8,8.6,3.2,3.2,6.9,7.8,0.1,5,5,7.3,8.5,9.2,8.3,8.4,2.7,7.5,0.8,7.3,8.8,1.1,7,2.3
2.6,0.5,8.9,7.3,2.9,8.9,7.3,2.1,10,10,5.9,1.4,5,8.4,1.9,0.7,1.8,9.1,9.2,6.6,9.1,8.8,3,8.7,3.3,3.5,10,7,9.4,2.2
1,4.9,10,8,2,0,1,6,8.5,8.2,0,1.5,8,8.5,0,6,7.6,8,7,8,7.9,8,3,10,3.5,7.5,9,2,9,2
6.1,3,6,4,0,0,0,0,6.4,3.8,7.5,1.2,3,2,0,2,2.2,6,7.9,5.7,7,3.9,5.5,8,0.5,0,6,0,7.2,5
0.7,7.9,7,2,0.4,0,0,0,10,6.9,2,7.2,2,8,0,0,0,2,3.1,6.4,9,6.5,0.3,9,0,0.4,9,0,10,1
1.2,7.7,9,2.5,2.2,0.5,0.4,1.6,8.3,8.7,0,2.5,2.5,7.4,1.3,3.9,8.2,8.9,9,4.1,1.9,8,0,8.7,3,3.6,10,6.7,10,1
0.9,7.4,6,5,6,1,7,0.9,8.1,9.1,1,4,1,9,0,8,8.1,8,9.2,9,9.6,9.1,2,9.1,3,0.5,8,3,9,9.5
5,3.5,8.6,7.2,0,5,7,2.6,9,9,0.4,3.6,2,7.7,1.3,2.1,1.8,9.1,9,9.1,8.5,8.2,3.1,9,1.3,8.3,9.6,1.7,6.8,5.9
0,0,8.3,8.3,1.7,0,5,0,10,8.6,0.2,0.9,0,7.5,0,7.2,9.1,5,7.8,6.9,9.3,10,0,8.9,0.7,0,9,0,10,1.4
0,8,6,8,0,0,5,0,10,8,2,0,2,8.5,0,3,7.6,9.5,9.2,9,9,9,0,9,0.5,0.1,9.5,0,9.5,0.2
2.1,0,7,7,0,0,1,0,10,8,1,0.8,6,9,1,5,3,8,10,9,9,7,1,10,0,1,10,0,9,0
0.8,2.2,7.7,3.9,1.1,3.2,6.9,0.5,9.5,9.4,1.3,2.7,2,8.7,1.7,3.2,5.9,7.2,7.4,8,5.6,8.3,0.4,8.5,0.5,3.8,9.3,0.9,7.1,2.7
0,0.9,3,7.2,0,0,0,0,10,2,0,0.1,1,3,0,0.2,0,6.5,2.9,10,1.5,9,1.5,10,0,0,7.4,0,10,0
