wordpairs,similarity,sample
hardware vs. infrastructure,similar,TRUE
insurance vs. automobile,similar,TRUE
loss vs. recovery,similar,TRUE
doctor vs. scientist,similar,TRUE
basketball vs. championship,similar,TRUE
basketball vs. game,similar,TRUE
flight vs. departure,similar,TRUE
landscape vs. fauna,similar,TRUE
rabbi vs. minister,similar,TRUE
food vs. water,similar,TRUE
card vs. credit,similar,TRUE
health vs. fertility,similar,TRUE
moon vs. planet,similar,TRUE
competition vs. championship,similar,TRUE
deployment vs. infrastructure,similar,TRUE
hardware vs. nation,dissimilar,TRUE
software vs. accommodation,dissimilar,TRUE
tournament vs. avenue,dissimilar,TRUE
mile vs. keyboard,dissimilar,TRUE
forecast vs. concert,dissimilar,TRUE
psychiatry vs. price,dissimilar,TRUE
stupid vs. furnace,dissimilar,TRUE
consumer vs. withdrawal,dissimilar,TRUE
season vs. astronomer,dissimilar,TRUE
street vs. challenge,dissimilar,TRUE
live vs. book,dissimilar,TRUE
smile vs. psychology,dissimilar,TRUE
love vs. glass,dissimilar,TRUE
egg vs. peace,dissimilar,TRUE
Mars vs. health,dissimilar,TRUE
