"smile_psychology","doctor_scientist","season_astronomer","consumer_withdrawal","rabbi_minister","card_credit","hardware_nation","insurance_automobile","loss_recovery","landscape_fauna","live_book","street_challenge","software_accommodation","mile_keyboard","egg_peace","health_fertility","tournament_avenue","basketball_game","moon_planet","basketball_championship","psychiatry_price","deployment_infrastructure","flight_departure","Mars_health","love_glass","food_water","forecast_concert","stupid_furnace","competition_championship","hardware_infrastructure"
5.7,8.6,5,6.9,8.2,8.3,1.6,7.8,7.3,9.2,7.3,3.2,2.7,0.1,0,8.5,5.1,8.8,7,8.6,2.3,5,8,0,0.8,8.4,3.2,1.1,7.5,5
7.3,8.9,7.3,5,0.5,9.1,2.1,8.4,9.1,6.6,3.5,1.4,3,1.9,2.9,9.2,2.6,10,9.4,10,2.2,0.7,10,8.9,3.3,8.8,5.9,7,8.7,1.8
8,10,1,8,4.9,7.9,6,8.5,8,8,7.5,1.5,3,0,2,7,1,9,9,8.2,2,6,8.5,0,3.5,8,0,2,10,7.6
4,6,0,3,3,7,0,2,6,5.7,0,1.2,5.5,0,0,7.9,6.1,6,7.2,3.8,5,2,6.4,0,0.5,3.9,7.5,0,8,2.2
2,7,0,2,7.9,9,0,8,2,6.4,0.4,7.2,0.3,0,0.4,3.1,0.7,9,10,6.9,1,0,10,0,0,6.5,2,0,9,0
2.5,9,0.4,2.5,7.7,1.9,1.6,7.4,8.9,4.1,3.6,2.5,0,1.3,2.2,9,1.2,10,10,8.7,1,3.9,8.3,0.5,3,8,0,6.7,8.7,8.2
5,6,7,1,7.4,9.6,0.9,9,8,9,0.5,4,2,0,6,9.2,0.9,8,9,9.1,9.5,8,8.1,1,3,9.1,1,3,9.1,8.1
7.2,8.6,7,2,3.5,8.5,2.6,7.7,9.1,9.1,8.3,3.6,3.1,1.3,0,9,5,9.6,6.8,9,5.9,2.1,9,5,1.3,8.2,0.4,1.7,9,1.8
8.3,8.3,5,0,0,9.3,0,7.5,5,6.9,0,0.9,0,0,1.7,7.8,0,9,10,8.6,1.4,7.2,10,0,0.7,10,0.2,0,8.9,9.1
8,6,5,2,8,9,0,8.5,9.5,9,0.1,0,0,0,0,9.2,0,9.5,9.5,8,0.2,3,10,0,0.5,9,2,0,9,7.6
